latitude,longitude,altitude,x,y,z
36.368507,127.3625728,0,353106.25,4026067.38,0
36.3684122,127.3627314,0,353120.24,4026056.6,0
36.3685075,127.3628021,0,353126.79,4026067.03,0
36.3686007,127.3626445,0,353112.88,4026077.7,0
